Vendor,Name,Serial,KeyIdentifier,NotBefore,NotAfter,SHA1,SHA256
Microsoft,"CN=Entrust.net Certification Authority (2048),OU=www.entrust.net/CPS_2048 incorp. by ref. (limits liab.)+OU=(c) 1999 Entrust.net Limited,O=Entrust.net",3863DEF8,55E481D11180BED889B908A331F9A1240916B970,1999-12-24T17:50:51Z,2029-07-24T14:15:12Z,503006091D97D4F5AE39F7CBE7927D7D652D3431,6DC47172E01CBCB0BF62580D895FE2B8AC9AD4F873801E0C10B9C837D21EB177
Microsoft,"CN=NetLock Arany (Class Gold) Főtanúsítvány,OU=Tanúsítványkiadók (Certification Services),O=NetLock Kft.,L=Budapest,C=HU",49412CE40010,CCFA6793F0B6B8D0A5C01EF353FD8C53DF83D796,2008-12-11T15:08:21Z,2028-12-06T15:08:21Z,06083F593F15A104A069A46BA903D006B7970991,6C61DAC3A2DEF031506BE036D2A6FE401994FBD13DF9C8D466599274C446EC98
Microsoft,"CN=OISTE WISeKey Global Root GB CA,OU=OISTE Foundation Endorsed,O=WISeKey,C=CH",76B1205274F0858746B3F8231AF6C2C0,350FC836635EE2A3ECF93B6615CE5152E3919A3D,2014-12-01T15:00:32Z,2039-12-01T15:10:31Z,0FF9407618D3D76A4B98F0A8359E0CFD27ACCCED,6B9C08E86EB0F767CFAD65CD98B62149E5494A67F5845E7BD1ED019F27B86BD6
Microsoft,"CN=Certum EC-384 CA,OU=Certum Certification Authority,O=Asseco Data Systems S.A.,C=PL",788F275C81125220A504D02DDDBA73F4,8D06667424763AF389F7BCD6BD477D2FBC105F4B,2018-03-26T07:24:54Z,2043-03-26T07:24:54Z,F33E783CACDFF4A2CCAC67556956D7E5163CE1ED,6B328085625318AA50D173C98D8BDA09D57E27413D114CF787A0F5D06C030CF6
Microsoft,"CN=SECOM TLS ECC Root CA 2024,O=SECOM Trust Systems Co.\, Ltd.,C=JP",817A2CEF8F237A44,3B76117B2974E24E064C568240D0212F7AB3C9D5,2024-01-31T05:52:34Z,2049-01-14T05:52:34Z,7A1F222D72B2C3198744DB6169E8A64BD70D440E,6AB2AB75F51CB4F4F0156203FBF6F646232F514BE059F62833308B82B4D72DB1
Microsoft,"CN=ISRG Root X2,O=Internet Security Research Group,C=US",41D29DD172EAEEA780C12C6CE92F8752,7C4296AEDE4B483BFA92F89E8CCF6D8BA9723795,2020-09-04T00:00:00Z,2040-09-17T16:00:00Z,BDB1B93CD5978D45C6261455F8DB95C75AD153AF,69729B8E15A86EFC177A57AFB7171DFC64ADD28C2FCA8CF1507E34453CCB1470
Microsoft,"CN=Verizon Global Root CA,OU=OmniRoot,O=Verizon Business,C=US",01,4C3811B898005B5A2B703EAA78E4D5676767A77E,2009-07-30T14:27:04Z,2034-07-30T14:27:04Z,912198EEF23DCAC40939312FEE97DD560BAE49B1,68AD50909B04363C605EF13581A939FF2C96372E3F12325B0A6861E1D59F6603
Microsoft,"OU=certSIGN ROOT CA G2,O=CERTSIGN SA,C=RO",110034B64EC6362D36,82212D66C6D7A0E015EBCE4C0977C4609E546E03,2017-02-06T09:27:35Z,2042-02-06T09:27:35Z,26F993B4ED3D2827B0B94BA7E9151DA38D92E532,657CFE2FA73FAA38462571F332A2363A46FCE7020951710702CDFBB6EEDA3305
Microsoft,"CN=Netrust Root CA 2,OU=Netrust Certificate Authority,O=Netrust Pte Ltd,C=SG",57C7ECF4,3A1F47D96F8618E929FAFE39CECBED8AC956552B,2016-09-01T08:25:17Z,2041-09-01T08:55:17Z,0AB5C3CD7448B86D711E77A549838B87CE525F7F,65353833CF234C79562164F90849C0D104DBABF8EE41064D83E8CBE03BA1C5A5
Microsoft,"CN=Entrust 4K EV TLS Root CA - 2022,O=Entrust\, Inc.,C=US",72429D8F40DFE46DAFBE06EBB533194CE90D6C76,0BDD90D58FBB3F5CBD60A0551A2482863C413041,2022-12-13T16:35:08Z,2047-12-07T16:35:08Z,EADB0AB9DC7938021435FED13E488406A1AA292A,647987D98D52645DA4D3DE3B80771A0CE02B9B9285E6E86999882170744EC9AA
Microsoft,"CN=SwissSign Gold CA - G2,O=SwissSign AG,C=CH",BB401C43F55E4FB0,5B257B96A465517EB839F3C078665EE83AE7F0EE,2006-10-25T08:30:35Z,2036-10-25T08:30:35Z,D8C5388AB7301B1B6ED47AE645253A6F9F1A2761,62DD0BE9B9F50A163EA0F8E75C053B1ECA57EA55C8688F647C6881F2C8357B95
Microsoft,"CN=TrustFactory SSL Root Certificate Authority,OU=TrustFactory PKI Operations,O=TrustFactory(Pty)Ltd,L=Johannesburg,ST=Gauteng,C=ZA",685DCC2639E02366E44A9D64D38E0435,423A5E365ADC1BAAD0A2EAF5F1447F742573E9BD,2017-12-05T10:59:29Z,2047-11-28T10:59:29Z,D11478E8E5FB62540593D22C51570D014EAC76D8,608142DA5C675DD47C1AA3A26EE329E24E81D5FF3B94017BC1C1A0C37DB4C1A0
